"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-12-13,6.13232197982458,9.38429367909962,180.7,3.1,13.4,5.19,1.84,167.28,64.17,20.56,3.12,10,0,0,2.16000008583069,17.4540191348125,19.8457546234131,0,382.807424809555,6.449737549,7.169716294,7.169716294,7.720261097,7.20897657,92.86883182,7.131168183
2022-12-20,5.60743471971988,10.0212705881925,246.8,2.9,14.92,6.47,2.23,231.89,79.91,27.54,2.9,9.73748740114738,0,0,2.16000008583069,16.9698593695131,19.8457546234131,0,379.232818506218,5.27617836,7.169716294,7.169716294,7.720261097,7.20897657,92.86883182,7.131168183
2022-12-27,5.74611683848276,9.82552601106642,246.8,2.9,14.92,6.47,2.23,231.89,79.91,27.54,2.9,10,0,0,2.16000008583069,16.2065338459625,19.8457546234131,0,356.810933249658,7.011218071,8.427779092,8.427779092,9.098644946,8.47724371,92.62674983,7.373250168
2023-01-03,-0.0489740045964595,10.2109722522841,30.8,1.24,15.4,5.5,2.48,15.4,62.91,52.89,1.19,10,0,0,2.16000008583069,16.0012587653904,19.8457546234131,0,374.589437953253,4.889582634,4.306232001,4.306232001,4.695713587,4.338537188,91.70559322,8.294406775
2023-01-05,6.8360113741233,10.1658518170036,30.8,1.24,15.4,5.5,2.48,15.4,62.91,52.89,1.19,10,0,0,1.35946579155388,15.9429433806584,19.8457546234131,0,380.388169331412,5.506845951,5.821970278,5.821970278,6.345684804,5.865192863,91.74691869,8.253081306
2023-01-10,5.48118701872431,9.62905070683437,30.8,1.24,15.4,5.5,2.48,15.4,62.91,52.89,1.19,10,0,0,2.16000008583069,15.7875932695275,19.8457546234131,0,365.061902735374,3.585878372,3.563068224,3.563068224,3.832293815,3.58198181,92.97481865,7.025181353
2023-01-12,1.39971738145203,9.60238245975221,422.1,2.77,95.43,23.37,8.29,326.69,110.74,40.13,2.76,10,0,0,2.16000008583069,15.8866369461586,19.8457546234131,0,372.666270123953,3.014899731,3.563068224,3.563068224,3.832293815,3.58198181,92.97481865,7.025181353
2023-01-17,5.98916833484763,9.29651806821724,422.1,2.77,95.43,23.37,8.29,326.69,110.74,40.13,2.76,10,0,0,2.16000008583069,15.652280721617,19.8457546234131,0,451.986606546702,5.354944229,3.563068224,3.563068224,3.832293815,3.58198181,92.97481865,7.025181353
2023-01-20,6.89775519564755,9.90847509404717,457.8,2.76,115.8,24.24,8.17,342.05,116.67,42.8,2.73,10,0,0,2.16000008583069,15.5408212435373,19.8457546234131,0,462.24017999778,5.323704243,3.563068224,3.563068224,3.832293815,3.58198181,92.97481865,7.025181353
2023-01-24,5.9698030503268,9.5468126085974,452.1,3.04,121.41,28.46,9.75,330.7,114.77,37.44,3.07,0.869153340044863,0.00086751658182569,9.97373058398657,3.21821905703125,15.4602674280605,35.3665936589241,16.1198370210239,857.02874519013,5.323704243,10.74506706,10.74506706,11.46977432,10.79085703,93.68159095,6.318409049
